Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
1.0,Sat,2023-04-15,16:00,América (MG),1.1,0–3,3.1,Fluminense,6653.0,Estádio Raimundo Sampaio,Braulio da Silva Machado,Match Report,,/en/matches/3f9c38cd/America-MG-Fluminense-April-15-2023-Serie-A,3f9c38cd,2023,0,3
1.0,Sat,2023-04-15,16:00,Palmeiras,3.0,2–1,1.0,Cuiabá,35835.0,Allianz Parque,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/b959f7a3/Palmeiras-Cuiaba-April-15-2023-Serie-A,b959f7a3,2023,2,1
1.0,Sat,2023-04-15,18:30,Bragantino,2.0,2–1,0.7,Bahia,3368.0,Estádio Nabi Abi Chedid,Maguielson Lima Barbosa,Match Report,,/en/matches/94647e41/Bragantino-Bahia-April-15-2023-Serie-A,94647e41,2023,2,1
1.0,Sat,2023-04-15,18:30,Botafogo (RJ),0.9,2–1,2.0,São Paulo,11708.0,Estádio Nilton Santos,Ramon Abatti Abel,Match Report,,/en/matches/d5b8d3df/Botafogo-RJ-Sao-Paulo-April-15-2023-Serie-A,d5b8d3df,2023,2,1
1.0,Sat,2023-04-15,18:30,Ath Paranaense,0.8,2–0,1.0,Goiás,15329.0,Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,Match Report,,/en/matches/d6629544/Athletico-Paranaense-Goias-April-15-2023-Serie-A,d6629544,2023,2,0
1.0,Sat,2023-04-15,18:30,Fortaleza,1.5,1–1,0.9,Internacional,30191.0,Estádio Castelão,Edina Alves Batista,Match Report,,/en/matches/f8e08c8f/Fortaleza-Internacional-April-15-2023-Serie-A,f8e08c8f,2023,1,1
1.0,Sun,2023-04-16,16:00,Flamengo,1.4,3–0,0.4,Coritiba,42848.0,Estadio Jornalista Mário Filho,Rodrigo José Pereira de Lima,Match Report,,/en/matches/1d8a4c36/Flamengo-Coritiba-April-16-2023-Serie-A,1d8a4c36,2023,3,0
1.0,Sun,2023-04-16,16:00,Corinthians,1.5,2–1,0.5,Cruzeiro,41304.0,Neo Química Arena,Anderson Daronco,Match Report,,/en/matches/9d3b8f29/Corinthians-Cruzeiro-April-16-2023-Serie-A,9d3b8f29,2023,2,1
1.0,Sun,2023-04-16,18:30,Grêmio,1.6,1–0,1.2,Santos,13997.0,Estádio Alfredo Jaconi,Wilton Sampaio,Match Report,,/en/matches/e1f3d89b/Gremio-Santos-April-16-2023-Serie-A,e1f3d89b,2023,1,0
1.0,Sat,2023-04-15,21:00,Atlético Mineiro,1.5,1–2,1.5,Vasco da Gama,34980.0,Estádio Governador Magalhães Pinto,Raphael Claus,Match Report,,/en/matches/66c932af/Atletico-Mineiro-Vasco-da-Gama-April-15-2023-Serie-A,66c932af,2023,1,2
2.0,Sat,2023-04-22,16:00,Fluminense,0.8,2–0,0.6,Ath Paranaense,38598.0,Estadio Jornalista Mário Filho,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/767895d6/Fluminense-Athletico-Paranaense-April-22-2023-Serie-A,767895d6,2023,2,0
2.0,Sat,2023-04-22,17:30,Cuiabá,1.2,1–1,0.9,Bragantino,9267.0,Arena Pantanal,Caio Max Augusto Vieira,Match Report,,/en/matches/cfbeb295/Cuiaba-Bragantino-April-22-2023-Serie-A,cfbeb295,2023,1,1
2.0,Sat,2023-04-22,18:30,São Paulo,2.4,3–0,1.1,América (MG),41006.0,Estádio do Morumbi,Wagner do Nascimento Magalhães,Match Report,,/en/matches/7a90288e/Sao-Paulo-America-MG-April-22-2023-Serie-A,7a90288e,2023,3,0
2.0,Sun,2023-04-23,11:00,Internacional,1.1,2–1,1.5,Flamengo,45751.0,Estádio José Pinheiro Borba,Ramon Abatti Abel,Match Report,,/en/matches/02383bbd/Internacional-Flamengo-April-23-2023-Serie-A,02383bbd,2023,2,1
2.0,Sun,2023-04-23,16:00,Vasco da Gama,1.4,2–2,0.7,Palmeiras,59867.0,Estádio Club de Regatas Vasco da Gama,Rafael Rodrigo Klein,Match Report,,/en/matches/0cf6e042/Vasco-da-Gama-Palmeiras-April-23-2023-Serie-A,0cf6e042,2023,2,2
2.0,Sun,2023-04-23,16:00,Santos,0.8,0–0,1.2,Atlético Mineiro,11233.0,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,,/en/matches/a7642f0e/Santos-Atletico-Mineiro-April-23-2023-Serie-A,a7642f0e,2023,0,0
2.0,Sun,2023-04-23,18:30,Coritiba,0.7,0–3,2.6,Fortaleza,24423.0,Estádio Major Antônio Couto Pereira,Wilton Sampaio,Match Report,,/en/matches/45ae3e74/Coritiba-Fortaleza-April-23-2023-Serie-A,45ae3e74,2023,0,3
2.0,Sun,2023-04-23,19:00,Goiás,1.2,3–1,0.5,Corinthians,8508.0,Estádio de Hailé Pinheiro,Bruno Arleu de Araujo,Match Report,,/en/matches/017a082a/Goias-Corinthians-April-23-2023-Serie-A,017a082a,2023,3,1
2.0,Sat,2023-04-22,21:00,Cruzeiro,1.5,1–0,0.8,Grêmio,21605.0,Estádio Raimundo Sampaio,Flavio Rodrigues de Souza,Match Report,,/en/matches/a60cbc50/Cruzeiro-Gremio-April-22-2023-Serie-A,a60cbc50,2023,1,0
2.0,Mon,2023-04-24,20:00,Bahia,0.9,1–2,0.2,Botafogo (RJ),27822.0,Itaipava Arena Fonte Nova,Raphael Claus,Match Report,,/en/matches/c9a18a18/Bahia-Botafogo-RJ-April-24-2023-Serie-A,c9a18a18,2023,1,2
3.0,Sat,2023-04-29,16:30,Coritiba,1.8,1–1,1.1,São Paulo,25210.0,Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,Match Report,,/en/matches/2992fa37/Coritiba-Sao-Paulo-April-29-2023-Serie-A,2992fa37,2023,1,1
3.0,Sat,2023-04-29,16:30,Fortaleza,5.3,4–2,1.5,Fluminense,39943.0,Estádio Castelão,Raphael Claus,Match Report,,/en/matches/c943342f/Fortaleza-Fluminense-April-29-2023-Serie-A,c943342f,2023,4,2
3.0,Sat,2023-04-29,18:30,Bragantino,1.5,0–3,2.0,Cruzeiro,4829.0,Estádio Nabi Abi Chedid,Braulio da Silva Machado,Match Report,,/en/matches/9650b0b3/Bragantino-Cruzeiro-April-29-2023-Serie-A,9650b0b3,2023,0,3
3.0,Sat,2023-04-29,18:30,Santos,1.8,3–2,1.8,América (MG),11844.0,Estádio Urbano Caldeira,Anderson Daronco,Match Report,,/en/matches/a1a57111/Santos-America-MG-April-29-2023-Serie-A,a1a57111,2023,3,2
3.0,Sat,2023-04-29,18:30,Palmeiras,1.4,2–1,0.5,Corinthians,41457.0,Allianz Parque,Wilton Sampaio,Match Report,,/en/matches/a69071f9/Palmeiras-Corinthians-April-29-2023-Serie-A,a69071f9,2023,2,1
3.0,Sun,2023-04-30,16:00,Flamengo,3.1,2–3,1.9,Botafogo (RJ),53138.0,Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,,/en/matches/86b32570/Flamengo-Botafogo-RJ-April-30-2023-Serie-A,86b32570,2023,2,3
3.0,Sun,2023-04-30,17:30,Cuiabá,1.2,1–2,1.7,Grêmio,21385.0,Arena Pantanal,Bruno Arleu de Araujo,Match Report,,/en/matches/10f5f85b/Cuiaba-Gremio-April-30-2023-Serie-A,10f5f85b,2023,1,2
3.0,Sun,2023-04-30,18:30,Internacional,0.9,1–0,0.8,Goiás,29193.0,Estádio José Pinheiro Borba,Rodrigo José Pereira de Lima,Match Report,,/en/matches/0f54fed5/Internacional-Goias-April-30-2023-Serie-A,0f54fed5,2023,1,0
3.0,Sat,2023-04-29,21:00,Atlético Mineiro,2.0,2–1,0.6,Ath Paranaense,15037.0,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,,/en/matches/9da7f983/Atletico-Mineiro-Athletico-Paranaense-April-29-2023-Serie-A,9da7f983,2023,2,1
3.0,Mon,2023-05-01,20:00,Vasco da Gama,0.9,0–1,1.1,Bahia,19223.0,Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues de Souza,Match Report,,/en/matches/9405f30f/Vasco-da-Gama-Bahia-May-1-2023-Serie-A,9405f30f,2023,0,1
4.0,Sat,2023-05-06,16:00,Cruzeiro,1.6,2–1,1.0,Santos,21191.0,Estádio Raimundo Sampaio,Bruno Arleu de Araujo,Match Report,,/en/matches/99e59530/Cruzeiro-Santos-May-6-2023-Serie-A,99e59530,2023,2,1
4.0,Sun,2023-05-07,11:00,América (MG),1.4,1–2,0.5,Cuiabá,5228.0,Estádio Raimundo Sampaio,Denis da Silva Ribeiro Serafim,Match Report,,/en/matches/e52d8331/America-MG-Cuiaba-May-7-2023-Serie-A,e52d8331,2023,1,2
4.0,Sun,2023-05-07,16:00,Ath Paranaense,1.0,2–1,1.5,Flamengo,32949.0,Estádio Joaquim Américo Guimarães,Raphael Claus,Match Report,,/en/matches/80877983/Athletico-Paranaense-Flamengo-May-7-2023-Serie-A,80877983,2023,2,1
4.0,Sun,2023-05-07,16:00,São Paulo,1.9,2–0,0.8,Internacional,46093.0,Estádio do Morumbi,Braulio da Silva Machado,Match Report,,/en/matches/9eef41c0/Sao-Paulo-Internacional-May-7-2023-Serie-A,9eef41c0,2023,2,0
4.0,Sun,2023-05-07,16:00,Bahia,1.5,3–1,0.4,Coritiba,37936.0,Itaipava Arena Fonte Nova,Bruno Mota Correia,Match Report,,/en/matches/f4b889bc/Bahia-Coritiba-May-7-2023-Serie-A,f4b889bc,2023,3,1
4.0,Sun,2023-05-07,18:30,Botafogo (RJ),2.0,2–0,0.5,Atlético Mineiro,18218.0,Estádio Nilton Santos,Flavio Rodrigues de Souza,Match Report,,/en/matches/2599c7ff/Botafogo-RJ-Atletico-Mineiro-May-7-2023-Serie-A,2599c7ff,2023,2,0
4.0,Sun,2023-05-07,18:30,Grêmio,1.7,3–3,1.8,Bragantino,23760.0,Arena do Grêmio,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/5cf775e0/Gremio-Bragantino-May-7-2023-Serie-A,5cf775e0,2023,3,3
4.0,Sun,2023-05-07,18:30,Goiás,0.7,0–5,2.0,Palmeiras,13789.0,Estádio de Hailé Pinheiro,Wagner do Nascimento Magalhães,Match Report,,/en/matches/ac20fea5/Goias-Palmeiras-May-7-2023-Serie-A,ac20fea5,2023,0,5
4.0,Sat,2023-05-06,21:00,Fluminense,1.8,1–1,0.7,Vasco da Gama,39850.0,Estadio Jornalista Mário Filho,Wilton Sampaio,Match Report,,/en/matches/a278d3d6/Fluminense-Vasco-da-Gama-May-6-2023-Serie-A,a278d3d6,2023,1,1
4.0,Mon,2023-05-08,20:00,Corinthians,1.5,1–1,0.8,Fortaleza,36512.0,Neo Química Arena,Ramon Abatti Abel,Match Report,,/en/matches/f5263891/Corinthians-Fortaleza-May-8-2023-Serie-A,f5263891,2023,1,1
5.0,Wed,2023-05-10,19:00,Internacional,1.0,0–2,1.5,Ath Paranaense,13537.0,Estádio José Pinheiro Borba,Bruno Arleu de Araujo,Match Report,,/en/matches/027ad5ab/Internacional-Athletico-Paranaense-May-10-2023-Serie-A,027ad5ab,2023,0,2
5.0,Wed,2023-05-10,19:00,Bragantino,1.7,2–2,2.0,América (MG),2909.0,Estádio Nabi Abi Chedid,Rafael Rodrigo Klein,Match Report,,/en/matches/2da143d6/Bragantino-America-MG-May-10-2023-Serie-A,2da143d6,2023,2,2
5.0,Wed,2023-05-10,19:00,Cuiabá,0.2,0–4,2.8,Atlético Mineiro,12029.0,Arena Pantanal,Wilton Sampaio,Match Report,,/en/matches/8ef1bcfe/Cuiaba-Atletico-Mineiro-May-10-2023-Serie-A,8ef1bcfe,2023,0,4
5.0,Wed,2023-05-10,19:00,Santos,2.0,3–0,1.3,Bahia,7262.0,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,Match Report,,/en/matches/bd884904/Santos-Bahia-May-10-2023-Serie-A,bd884904,2023,3,0
5.0,Wed,2023-05-10,20:00,Flamengo,2.6,2–0,0.7,Goiás,44948.0,Estadio Jornalista Mário Filho,Savio Pereira,Match Report,,/en/matches/4536f612/Flamengo-Goias-May-10-2023-Serie-A,4536f612,2023,2,0
5.0,Thu,2023-05-11,19:00,Coritiba,1.0,1–1,0.8,Vasco da Gama,20880.0,Estádio Major Antônio Couto Pereira,Ramon Abatti Abel,Match Report,,/en/matches/af6791cb/Coritiba-Vasco-da-Gama-May-11-2023-Serie-A,af6791cb,2023,1,1
5.0,Thu,2023-05-11,19:30,Botafogo (RJ),2.6,3–0,0.6,Corinthians,22388.0,Estádio Nilton Santos,Anderson Daronco,Match Report,,/en/matches/2fadcf10/Botafogo-RJ-Corinthians-May-11-2023-Serie-A,2fadcf10,2023,3,0
5.0,Thu,2023-05-11,20:00,Fortaleza,0.8,0–0,0.8,São Paulo,37775.0,Estádio Castelão,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/7840a6a7/Fortaleza-Sao-Paulo-May-11-2023-Serie-A,7840a6a7,2023,0,0
5.0,Wed,2023-05-10,21:30,Palmeiras,3.8,4–1,0.1,Grêmio,37532.0,Allianz Parque,Braulio da Silva Machado,Match Report,,/en/matches/4ceed639/Palmeiras-Gremio-May-10-2023-Serie-A,4ceed639,2023,4,1
5.0,Wed,2023-05-10,21:30,Cruzeiro,2.1,0–2,1.2,Fluminense,51846.0,Estádio Raimundo Sampaio,Flavio Rodrigues de Souza,Match Report,,/en/matches/80369894/Cruzeiro-Fluminense-May-10-2023-Serie-A,80369894,2023,0,2
6.0,Sat,2023-05-13,16:00,Bahia,1.4,2–3,2.2,Flamengo,48502.0,Itaipava Arena Fonte Nova,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/2d532d7a/Bahia-Flamengo-May-13-2023-Serie-A,2d532d7a,2023,2,3
6.0,Sat,2023-05-13,18:30,Fluminense,0.9,2–0,0.9,Cuiabá,39040.0,Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,,/en/matches/64ac3a68/Fluminense-Cuiaba-May-13-2023-Serie-A,64ac3a68,2023,2,0
6.0,Sat,2023-05-13,18:30,Palmeiras,1.6,1–1,1.0,Bragantino,39488.0,Allianz Parque,Savio Pereira,Match Report,,/en/matches/a561ceb3/Palmeiras-Bragantino-May-13-2023-Serie-A,a561ceb3,2023,1,1
6.0,Sun,2023-05-14,16:00,Grêmio,0.8,0–0,0.6,Fortaleza,17396.0,Arena do Grêmio,Bruno Mota Correia,Match Report,,/en/matches/59277cb9/Gremio-Fortaleza-May-14-2023-Serie-A,59277cb9,2023,0,0
6.0,Sun,2023-05-14,16:00,Vasco da Gama,1.7,0–1,0.6,Santos,18476.0,Estádio Club de Regatas Vasco da Gama,Rodrigo José Pereira de Lima,Match Report,,/en/matches/76068290/Vasco-da-Gama-Santos-May-14-2023-Serie-A,76068290,2023,0,1
6.0,Sun,2023-05-14,16:00,Corinthians,0.9,1–1,0.9,São Paulo,41118.0,Neo Química Arena,Bruno Arleu de Araujo,Match Report,,/en/matches/b6321e0b/Classico-Majestoso-Corinthians-Sao-Paulo-May-14-2023-Serie-A,b6321e0b,2023,1,1
6.0,Sun,2023-05-14,18:30,Ath Paranaense,2.9,3–2,0.4,Coritiba,17608.0,Estádio Joaquim Américo Guimarães,Flavio Rodrigues de Souza,Match Report,,/en/matches/9fad406f/Athletico-Paranaense-Coritiba-May-14-2023-Serie-A,9fad406f,2023,3,2
6.0,Sun,2023-05-14,18:30,América (MG),1.3,0–4,2.6,Cruzeiro,4295.0,Estádio Raimundo Sampaio,Wilton Sampaio,Match Report,,/en/matches/aa9ea318/America-MG-Cruzeiro-May-14-2023-Serie-A,aa9ea318,2023,0,4
6.0,Sun,2023-05-14,18:30,Goiás,1.9,2–1,1.5,Botafogo (RJ),6674.0,Estádio de Hailé Pinheiro,Rafael Rodrigo Klein,Match Report,,/en/matches/fc386148/Goias-Botafogo-RJ-May-14-2023-Serie-A,fc386148,2023,2,1
6.0,Sat,2023-05-13,21:00,Atlético Mineiro,2.0,2–0,0.3,Internacional,36080.0,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Match Report,,/en/matches/12bfd222/Atletico-Mineiro-Internacional-May-13-2023-Serie-A,12bfd222,2023,2,0
7.0,Sat,2023-05-20,16:00,Bahia,2.3,1–1,0.9,Goiás,32519.0,Itaipava Arena Fonte Nova,Denis da Silva Ribeiro Serafim,Match Report,,/en/matches/bfb2796c/Bahia-Goias-May-20-2023-Serie-A,bfb2796c,2023,1,1
7.0,Sat,2023-05-20,18:30,Bragantino,1.7,2–0,1.1,Ath Paranaense,3769.0,Estádio Nabi Abi Chedid,Felipe Fernandes de Lima,Match Report,,/en/matches/1193ded0/Bragantino-Athletico-Paranaense-May-20-2023-Serie-A,1193ded0,2023,2,0
7.0,Sat,2023-05-20,18:30,Coritiba,1.0,1–2,1.5,Atlético Mineiro,20047.0,Estádio Major Antônio Couto Pereira,Rodrigo José Pereira de Lima,Match Report,,/en/matches/7fafbafb/Coritiba-Atletico-Mineiro-May-20-2023-Serie-A,7fafbafb,2023,1,2
7.0,Sat,2023-05-20,18:30,Botafogo (RJ),1.4,1–0,0.9,Fluminense,24732.0,Estádio Nilton Santos,Braulio da Silva Machado,Match Report,,/en/matches/9209023f/Botafogo-RJ-Fluminense-May-20-2023-Serie-A,9209023f,2023,1,0
7.0,Sat,2023-05-20,18:30,América (MG),0.8,2–1,1.2,Fortaleza,2488.0,Estádio Raimundo Sampaio,Luiz Flávio de Oliveira,Match Report,,/en/matches/c043d49e/America-MG-Fortaleza-May-20-2023-Serie-A,c043d49e,2023,2,1
7.0,Sat,2023-05-20,18:30,São Paulo,2.3,4–2,1.1,Vasco da Gama,57399.0,Estádio do Morumbi,Leandro Pedro Vuaden,Match Report,,/en/matches/d207de49/Sao-Paulo-Vasco-da-Gama-May-20-2023-Serie-A,d207de49,2023,4,2
7.0,Sun,2023-05-21,16:00,Flamengo,0.6,1–0,1.2,Corinthians,64871.0,Estadio Jornalista Mário Filho,Rafael Rodrigo Klein,Match Report,,/en/matches/11ca3529/Flamengo-Corinthians-May-21-2023-Serie-A,11ca3529,2023,1,0
7.0,Sun,2023-05-21,18:30,Grêmio,1.7,3–1,1.5,Internacional,39438.0,Arena do Grêmio,Flavio Rodrigues de Souza,Match Report,,/en/matches/e18a4ea8/Gremio-Internacional-May-21-2023-Serie-A,e18a4ea8,2023,3,1
7.0,Sat,2023-05-20,21:00,Santos,0.4,0–0,0.4,Palmeiras,12641.0,Estádio Urbano Caldeira,Raphael Claus,Match Report,,/en/matches/30659d88/Santos-Palmeiras-May-20-2023-Serie-A,30659d88,2023,0,0
7.0,Mon,2023-05-22,20:00,Cruzeiro,1.2,0–1,1.2,Cuiabá,15722.0,Estádio Raimundo Sampaio,Savio Pereira,Match Report,,/en/matches/b30c6bcf/Cruzeiro-Cuiaba-May-22-2023-Serie-A,b30c6bcf,2023,0,1
8.0,Sat,2023-05-27,16:00,Fortaleza,1.5,2–0,0.7,Vasco da Gama,37625.0,Estádio Castelão,Edina Alves Batista,Match Report,,/en/matches/7f29098f/Fortaleza-Vasco-da-Gama-May-27-2023-Serie-A,7f29098f,2023,2,0
8.0,Sat,2023-05-27,16:00,Ath Paranaense,1.3,1–2,0.7,Grêmio,25966.0,Estádio Joaquim Américo Guimarães,Savio Pereira,Match Report,,/en/matches/daa2464c/Athletico-Paranaense-Gremio-May-27-2023-Serie-A,daa2464c,2023,1,2
8.0,Sat,2023-05-27,17:30,Cuiabá,0.7,1–1,1.0,Coritiba,8660.0,Arena Pantanal,Denis da Silva Ribeiro Serafim,Match Report,,/en/matches/c5d5182f/Cuiaba-Coritiba-May-27-2023-Serie-A,c5d5182f,2023,1,1
8.0,Sat,2023-05-27,18:30,Flamengo,2.0,1–1,1.2,Cruzeiro,65270.0,Estadio Jornalista Mário Filho,Luiz Flávio de Oliveira,Match Report,,/en/matches/132d4525/Flamengo-Cruzeiro-May-27-2023-Serie-A,132d4525,2023,1,1
8.0,Sun,2023-05-28,16:00,Corinthians,1.4,2–0,1.3,Fluminense,34624.0,Neo Química Arena,Leandro Pedro Vuaden,Match Report,,/en/matches/8fd5bd91/Corinthians-Fluminense-May-28-2023-Serie-A,8fd5bd91,2023,2,0
8.0,Sun,2023-05-28,16:00,Internacional,0.9,2–0,1.1,Bahia,19037.0,Estádio José Pinheiro Borba,Wagner do Nascimento Magalhães,Match Report,,/en/matches/a6343b60/Internacional-Bahia-May-28-2023-Serie-A,a6343b60,2023,2,0
8.0,Sun,2023-05-28,18:30,Bragantino,1.5,2–0,0.3,Santos,5988.0,Estádio Nabi Abi Chedid,Anderson Daronco,Match Report,,/en/matches/1bd2218c/Bragantino-Santos-May-28-2023-Serie-A,1bd2218c,2023,2,0
8.0,Sun,2023-05-28,18:30,Atlético Mineiro,0.8,1–1,1.1,Palmeiras,53236.0,Estádio Governador Magalhães Pinto,Braulio da Silva Machado,Match Report,,/en/matches/c5148202/Atletico-Mineiro-Palmeiras-May-28-2023-Serie-A,c5148202,2023,1,1
8.0,Sun,2023-05-28,19:00,Botafogo (RJ),2.1,2–0,0.4,América (MG),23708.0,Estádio Nilton Santos,Raphael Claus,Match Report,,/en/matches/ec848ed6/Botafogo-RJ-America-MG-May-28-2023-Serie-A,ec848ed6,2023,2,0
8.0,Sat,2023-05-27,21:00,São Paulo,0.9,2–1,0.3,Goiás,45429.0,Estádio do Morumbi,Rafael Rodrigo Klein,Match Report,,/en/matches/728c24a4/Sao-Paulo-Goias-May-27-2023-Serie-A,728c24a4,2023,2,1
9.0,Sat,2023-06-03,16:00,Fortaleza,0.6,0–0,0.3,Bahia,38338.0,Estádio Castelão,João Vitor Gobi,Match Report,,/en/matches/1acd07ea/Fortaleza-Bahia-June-3-2023-Serie-A,1acd07ea,2023,0,0
9.0,Sat,2023-06-03,18:30,Cruzeiro,1.8,0–1,0.6,Atlético Mineiro,34344.0,Estádio Municipal João Havelange,Savio Pereira,Match Report,,/en/matches/c2ccd438/Cruzeiro-Atletico-Mineiro-June-3-2023-Serie-A,c2ccd438,2023,0,1
9.0,Sat,2023-06-03,18:30,Ath Paranaense,0.9,1–0,0.6,Botafogo (RJ),18684.0,Estádio Joaquim Américo Guimarães,Vinicius Gonçalves Dias Araujo,Match Report,,/en/matches/c659922e/Athletico-Paranaense-Botafogo-RJ-June-3-2023-Serie-A,c659922e,2023,1,0
9.0,Sat,2023-06-03,18:30,América (MG),1.4,2–0,1.2,Corinthians,6701.0,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,,/en/matches/e8c0377b/America-MG-Corinthians-June-3-2023-Serie-A,e8c0377b,2023,2,0
9.0,Sun,2023-06-04,16:00,Fluminense,1.1,2–1,0.6,Bragantino,27228.0,Estadio Jornalista Mário Filho,Rodrigo José Pereira de Lima,Match Report,,/en/matches/44ef69d7/Fluminense-Bragantino-June-4-2023-Serie-A,44ef69d7,2023,2,1
9.0,Sun,2023-06-04,16:00,Grêmio,1.9,2–1,1.1,São Paulo,42207.0,Arena do Grêmio,Wilton Sampaio,Match Report,,/en/matches/6af4be55/Gremio-Sao-Paulo-June-4-2023-Serie-A,6af4be55,2023,2,1
9.0,Sun,2023-06-04,18:30,Goiás,0.4,0–1,1.2,Cuiabá,6987.0,Estádio de Hailé Pinheiro,Marcelo de Lima Henrique,Match Report,,/en/matches/438200a1/Goias-Cuiaba-June-4-2023-Serie-A,438200a1,2023,0,1
9.0,Sun,2023-06-04,18:30,Palmeiras,2.5,3–1,0.6,Coritiba,33570.0,Allianz Parque,Felipe Fernandes de Lima,Match Report,,/en/matches/6a5dcd79/Palmeiras-Coritiba-June-4-2023-Serie-A,6a5dcd79,2023,3,1
9.0,Sat,2023-06-03,21:00,Santos,1.4,1–1,1.1,Internacional,9600.0,Estádio Urbano Caldeira,Paulo Cesar Zanovelli da Silva,Match Report,,/en/matches/6f69da42/Santos-Internacional-June-3-2023-Serie-A,6f69da42,2023,1,1
9.0,Mon,2023-06-05,20:00,Vasco da Gama,1.5,1–4,1.1,Flamengo,46423.0,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,,/en/matches/fa4fe85f/Classico-dos-Milhoes-Vasco-da-Gama-Flamengo-June-5-2023-Serie-A,fa4fe85f,2023,1,4
10.0,Sat,2023-06-10,16:00,Coritiba,1.2,0–0,0.8,Santos,25987.0,Estádio Major Antônio Couto Pereira,Bruno Mota Correia,Match Report,,/en/matches/18738681/Coritiba-Santos-June-10-2023-Serie-A,18738681,2023,0,0
