Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
28.0,Sun,2023-10-22,16:00,Internacional,1.6,7–1,1.6,Santos,,Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,,/en/matches/7d038308/Internacional-Santos-October-22-2023-Serie-A,7d038308,2023,7,1
28.0,Sun,2023-10-22,16:00,Flamengo,0.5,1–0,1.1,Vasco da Gama,69473.0,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,,/en/matches/c9612aa5/Classico-dos-Milhoes-Flamengo-Vasco-da-Gama-October-22-2023-Serie-A,c9612aa5,2023,1,0
28.0,Sun,2023-10-22,18:30,Corinthians,1.3,1–1,0.7,América (MG),38121.0,Neo Química Arena,Yuri Elino Ferreira da Cruz,Match Report,,/en/matches/06b0087f/Corinthians-America-MG-October-22-2023-Serie-A,06b0087f,2023,1,1
28.0,Sun,2023-10-22,18:30,Coritiba,0.6,0–2,1.1,Palmeiras,,Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,Match Report,,/en/matches/88fb07de/Coritiba-Palmeiras-October-22-2023-Serie-A,88fb07de,2023,0,2
28.0,Sun,2023-10-22,18:30,Bragantino,2.2,1–0,0.5,Fluminense,,Estádio Nabi Abi Chedid,Wilton Pereira Sampaio,Match Report,,/en/matches/a94f5e66/Bragantino-Fluminense-October-22-2023-Serie-A,a94f5e66,2023,1,0
29.0,Tue,2023-10-24,19:00,Fortaleza,,,,Botafogo (RJ),,Estádio Castelão,,,Match Postponed, , ,2023,,
29.0,Wed,2023-10-25,19:00,Ath Paranaense,3.1,3–2,0.9,América (MG),20672.0,Estádio Joaquim Américo Guimarães,Anderson Daronco,Match Report,,/en/matches/044bc3ec/Athletico-Paranaense-America-MG-October-25-2023-Serie-A,044bc3ec,2023,3,2
29.0,Wed,2023-10-25,19:00,Bragantino,1.9,1–2,1.4,Atlético Mineiro,5494.0,Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,,/en/matches/2e52bb7d/Bragantino-Atletico-Mineiro-October-25-2023-Serie-A,2e52bb7d,2023,1,2
29.0,Wed,2023-10-25,19:00,Fluminense,2.7,5–3,0.6,Goiás,,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,,/en/matches/7f35e779/Fluminense-Goias-October-25-2023-Serie-A,7f35e779,2023,5,3
29.0,Wed,2023-10-25,20:00,Cruzeiro,2.0,3–0,0.3,Bahia,,Estádio Raimundo Sampaio,Flavio de Souza,Match Report,,/en/matches/1985c034/Cruzeiro-Bahia-October-25-2023-Serie-A,1985c034,2023,3,0
29.0,Wed,2023-10-25,20:00,Palmeiras,2.4,5–0,0.1,São Paulo,,Allianz Parque,Raphael Claus,Match Report,,/en/matches/8e9362e0/Palmeiras-Sao-Paulo-October-25-2023-Serie-A,8e9362e0,2023,5,0
29.0,Thu,2023-10-26,19:00,Vasco da Gama,1.0,1–2,1.6,Internacional,20098.0,Estádio Club de Regatas Vasco da Gama,Luiz Flávio de Oliveira,Match Report,,/en/matches/bf99eca7/Vasco-da-Gama-Internacional-October-26-2023-Serie-A,bf99eca7,2023,1,2
29.0,Wed,2023-10-25,20:30,Cuiabá,0.6,0–1,1.4,Corinthians,,Arena Pantanal,André Luiz Skettino Policarpo Bento,Match Report,,/en/matches/aaff063e/Cuiaba-Corinthians-October-25-2023-Serie-A,aaff063e,2023,0,1
29.0,Wed,2023-10-25,21:30,Grêmio,1.0,3–2,1.1,Flamengo,,Arena do Grêmio,Rodrigo José Pereira de Lima,Match Report,,/en/matches/3277e5e5/Gremio-Flamengo-October-25-2023-Serie-A,3277e5e5,2023,3,2
29.0,Thu,2023-10-26,21:30,Santos,2.2,2–1,0.8,Coritiba,12205.0,Estádio Urbano Caldeira,Wagner Magalhães,Match Report,,/en/matches/7d439ddc/Santos-Coritiba-October-26-2023-Serie-A,7d439ddc,2023,2,1
30.0,Sat,2023-10-28,,Flamengo,,,,Bragantino,,Estadio Jornalista Mário Filho,,,Match Postponed, , ,2023,,
30.0,Sat,2023-10-28,,Fortaleza,,,,Cruzeiro,,Estádio Castelão,,,Match Postponed, , ,2023,,
30.0,Sat,2023-10-28,19:00,América (MG),2.4,3–4,2.1,Grêmio,3008.0,Estádio Raimundo Sampaio,Matheus Delgado Candançan,Match Report,,/en/matches/a51962c1/America-MG-Gremio-October-28-2023-Serie-A,a51962c1,2023,3,4
30.0,Sat,2023-10-28,19:00,Palmeiras,1.7,1–0,0.2,Bahia,33747.0,Allianz Parque,Rodrigo José Pereira de Lima,Match Report,,/en/matches/afdca9e0/Palmeiras-Bahia-October-28-2023-Serie-A,afdca9e0,2023,1,0
30.0,Sun,2023-10-29,16:00,Ath Paranaense,1.2,1–1,0.6,São Paulo,,Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,Match Report,,/en/matches/183a7664/Athletico-Paranaense-Sao-Paulo-October-29-2023-Serie-A,183a7664,2023,1,1
30.0,Sun,2023-10-29,16:00,Goiás,1.1,1–1,0.9,Vasco da Gama,12904.0,Estádio de Hailé Pinheiro,Flavio de Souza,Match Report,,/en/matches/725eed20/Goias-Vasco-da-Gama-October-29-2023-Serie-A,725eed20,2023,1,1
30.0,Sun,2023-10-29,18:30,Corinthians,1.2,1–1,1.3,Santos,,Neo Química Arena,Anderson Daronco,Match Report,,/en/matches/4ad2d187/Corinthians-Santos-October-29-2023-Serie-A,4ad2d187,2023,1,1
30.0,Sun,2023-10-29,18:30,Internacional,2.6,3–4,2.7,Coritiba,,Estádio José Pinheiro Borba,André Luiz Skettino Policarpo Bento,Match Report,,/en/matches/644ef519/Internacional-Coritiba-October-29-2023-Serie-A,644ef519,2023,3,4
30.0,Sun,2023-10-29,20:00,Botafogo (RJ),1.9,0–1,1.0,Cuiabá,30659.0,Estádio Nilton Santos,Wilton Pereira Sampaio,Match Report,,/en/matches/263b2f87/Botafogo-RJ-Cuiaba-October-29-2023-Serie-A,263b2f87,2023,0,1
30.0,Sat,2023-10-28,22:00,Atlético Mineiro,1.2,2–0,1.1,Fluminense,,Estádio Governador Magalhães Pinto,Raphael Claus,Match Report,,/en/matches/34e31c31/Atletico-Mineiro-Fluminense-October-28-2023-Serie-A,34e31c31,2023,2,0
31.0,Tue,2023-10-31,19:00,Bahia,,,,Fluminense,,Itaipava Arena Fonte Nova,,Head-to-Head,,/en/stathead/matchup/teams/84d9701c/157b7fee/Fluminense-vs-Bahia-History,matchup,2023,,
31.0,Wed,2023-11-01,19:00,Corinthians,,,,Ath Paranaense,,Neo Química Arena,,Head-to-Head,,/en/stathead/matchup/teams/bf4acd28/2091c619/Corinthians-vs-Athletico-Paranaense-History,matchup,2023,,
31.0,Wed,2023-11-01,19:00,Internacional,,,,América (MG),,Estádio José Pinheiro Borba,,Head-to-Head,,/en/stathead/matchup/teams/6f7e1f03/1f68d780/Internacional-vs-America-MG-History,matchup,2023,,
31.0,Wed,2023-11-01,20:00,Coritiba,,,,Grêmio,,Estádio Major Antônio Couto Pereira,,Head-to-Head,,/en/stathead/matchup/teams/d680d257/d5ae3703/Coritiba-vs-Gremio-History,matchup,2023,,
31.0,Wed,2023-11-01,20:00,Flamengo,,,,Santos,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/712c528f/639950ae/Santos-vs-Flamengo-History,matchup,2023,,
31.0,Thu,2023-11-02,16:00,Cuiabá,,,,Vasco da Gama,,Arena Pantanal,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/83f55dbe/Cuiaba-vs-Vasco-da-Gama-History,matchup,2023,,
31.0,Thu,2023-11-02,18:00,Goiás,,,,Bragantino,,Estádio de Hailé Pinheiro,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/78c617cc/Red-Bull-Bragantino-vs-Goias-History,matchup,2023,,
31.0,Thu,2023-11-02,20:00,São Paulo,,,,Cruzeiro,,Estádio do Morumbi,,Head-to-Head,,/en/stathead/matchup/teams/5f232eb1/03ff5eeb/Sao-Paulo-vs-Cruzeiro-History,matchup,2023,,
31.0,Wed,2023-11-01,21:30,Atlético Mineiro,,,,Fortaleza,,Estádio Governador Magalhães Pinto,,Head-to-Head,,/en/stathead/matchup/teams/a9d0ab0e/422bb734/Fortaleza-vs-Atletico-Mineiro-History,matchup,2023,,
31.0,Wed,2023-11-01,21:30,Botafogo (RJ),,,,Palmeiras,,Estádio Nilton Santos,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/abdce579/Botafogo-RJ-vs-Palmeiras-History,matchup,2023,,
32.0,Sat,2023-11-04,,Fluminense,,,,São Paulo,,Estadio Jornalista Mário Filho,,,Match Postponed, , ,2023,,
32.0,Sat,2023-11-04,19:30,Grêmio,,,,Bahia,,Arena do Grêmio,,Head-to-Head,,/en/stathead/matchup/teams/d5ae3703/157b7fee/Gremio-vs-Bahia-History,matchup,2023,,
32.0,Sat,2023-11-04,19:30,América (MG),,,,Atlético Mineiro,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/422bb734/1f68d780/Atletico-Mineiro-vs-America-MG-History,matchup,2023,,
32.0,Sun,2023-11-05,16:00,Cruzeiro,,,,Internacional,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/6f7e1f03/03ff5eeb/Internacional-vs-Cruzeiro-History,matchup,2023,,
32.0,Sun,2023-11-05,16:00,Vasco da Gama,,,,Botafogo (RJ),,Estádio Club de Regatas Vasco da Gama,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/83f55dbe/Botafogo-RJ-vs-Vasco-da-Gama-History,matchup,2023,,
32.0,Sun,2023-11-05,16:00,Bragantino,,,,Corinthians,,Estádio Nabi Abi Chedid,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/bf4acd28/Red-Bull-Bragantino-vs-Corinthians-History,matchup,2023,,
32.0,Sun,2023-11-05,18:30,Coritiba,,,,Goiás,,Estádio Major Antônio Couto Pereira,,Head-to-Head,,/en/stathead/matchup/teams/d680d257/78c617cc/Coritiba-vs-Goias-History,matchup,2023,,
32.0,Sun,2023-11-05,18:30,Fortaleza,,,,Flamengo,,Estádio Castelão,,Head-to-Head,,/en/stathead/matchup/teams/a9d0ab0e/639950ae/Fortaleza-vs-Flamengo-History,matchup,2023,,
32.0,Sat,2023-11-04,21:30,Palmeiras,,,,Ath Paranaense,,Allianz Parque,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/2091c619/Palmeiras-vs-Athletico-Paranaense-History,matchup,2023,,
32.0,Mon,2023-11-06,20:00,Santos,,,,Cuiabá,,Estádio Urbano Caldeira,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/712c528f/Cuiaba-vs-Santos-History,matchup,2023,,
33.0,Tue,2023-11-07,20:00,Ath Paranaense,,,,Fortaleza,,Estádio Joaquim Américo Guimarães,,Head-to-Head,,/en/stathead/matchup/teams/a9d0ab0e/2091c619/Fortaleza-vs-Athletico-Paranaense-History,matchup,2023,,
33.0,Tue,2023-11-07,20:00,Cruzeiro,,,,Vasco da Gama,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/83f55dbe/03ff5eeb/Vasco-da-Gama-vs-Cruzeiro-History,matchup,2023,,
33.0,Wed,2023-11-08,19:00,América (MG),,,,Coritiba,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/d680d257/1f68d780/Coritiba-vs-America-MG-History,matchup,2023,,
33.0,Wed,2023-11-08,19:00,Internacional,,,,Fluminense,,Estádio José Pinheiro Borba,,Head-to-Head,,/en/stathead/matchup/teams/84d9701c/6f7e1f03/Fluminense-vs-Internacional-History,matchup,2023,,
33.0,Wed,2023-11-08,20:00,São Paulo,,,,Bragantino,,Estádio do Morumbi,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/5f232eb1/Red-Bull-Bragantino-vs-Sao-Paulo-History,matchup,2023,,
33.0,Thu,2023-11-09,19:00,Corinthians,,,,Atlético Mineiro,,Neo Química Arena,,Head-to-Head,,/en/stathead/matchup/teams/bf4acd28/422bb734/Corinthians-vs-Atletico-Mineiro-History,matchup,2023,,
33.0,Thu,2023-11-09,19:00,Goiás,,,,Santos,,Estádio de Hailé Pinheiro,,Head-to-Head,,/en/stathead/matchup/teams/78c617cc/712c528f/Goias-vs-Santos-History,matchup,2023,,
33.0,Thu,2023-11-09,20:00,Botafogo (RJ),,,,Grêmio,,Estádio Nilton Santos,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/d5ae3703/Botafogo-RJ-vs-Gremio-History,matchup,2023,,
33.0,Wed,2023-11-08,21:30,Flamengo,,,,Palmeiras,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/639950ae/Palmeiras-vs-Flamengo-History,matchup,2023,,
33.0,Thu,2023-11-09,21:30,Bahia,,,,Cuiabá,,Itaipava Arena Fonte Nova,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/157b7fee/Cuiaba-vs-Bahia-History,matchup,2023,,
34.0,Sat,2023-11-11,16:00,Coritiba,,,,Cruzeiro,,Estádio Major Antônio Couto Pereira,,Head-to-Head,,/en/stathead/matchup/teams/d680d257/03ff5eeb/Coritiba-vs-Cruzeiro-History,matchup,2023,,
34.0,Sat,2023-11-11,18:30,Flamengo,,,,Fluminense,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/84d9701c/639950ae/Fluminense-vs-Flamengo-History,matchup,2023,,
34.0,Sun,2023-11-12,16:00,Bragantino,,,,Botafogo (RJ),,Estádio Nabi Abi Chedid,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/d9fdd9d9/Red-Bull-Bragantino-vs-Botafogo-RJ-History,matchup,2023,,
34.0,Sun,2023-11-12,16:00,Grêmio,,,,Corinthians,,,,Head-to-Head,,/en/stathead/matchup/teams/d5ae3703/bf4acd28/Gremio-vs-Corinthians-History,matchup,2023,,
34.0,Sun,2023-11-12,17:30,Cuiabá,,,,Fortaleza,,Arena Pantanal,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/a9d0ab0e/Cuiaba-vs-Fortaleza-History,matchup,2023,,
34.0,Sun,2023-11-12,18:30,Santos,,,,São Paulo,,Estádio Urbano Caldeira,,Head-to-Head,,/en/stathead/matchup/teams/712c528f/5f232eb1/Santos-vs-Sao-Paulo-History,matchup,2023,,
34.0,Sun,2023-11-12,18:30,Vasco da Gama,,,,América (MG),,Estádio Club de Regatas Vasco da Gama,,Head-to-Head,,/en/stathead/matchup/teams/83f55dbe/1f68d780/Vasco-da-Gama-vs-America-MG-History,matchup,2023,,
34.0,Sun,2023-11-12,18:30,Bahia,,,,Ath Paranaense,,Itaipava Arena Fonte Nova,,Head-to-Head,,/en/stathead/matchup/teams/2091c619/157b7fee/Athletico-Paranaense-vs-Bahia-History,matchup,2023,,
34.0,Sun,2023-11-12,18:30,Atlético Mineiro,,,,Goiás,,,,Head-to-Head,,/en/stathead/matchup/teams/78c617cc/422bb734/Goias-vs-Atletico-Mineiro-History,matchup,2023,,
34.0,Sat,2023-11-11,21:00,Palmeiras,,,,Internacional,,Allianz Parque,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/6f7e1f03/Palmeiras-vs-Internacional-History,matchup,2023,,
35.0,Wed,2023-11-22,,Atlético Mineiro,,,,Grêmio,,,,Head-to-Head,,/en/stathead/matchup/teams/d5ae3703/422bb734/Gremio-vs-Atletico-Mineiro-History,matchup,2023,,
35.0,Wed,2023-11-22,,Internacional,,,,Bragantino,,Estádio José Pinheiro Borba,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/6f7e1f03/Red-Bull-Bragantino-vs-Internacional-History,matchup,2023,,
35.0,Wed,2023-11-22,,São Paulo,,,,Cuiabá,,Estádio do Morumbi,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/5f232eb1/Cuiaba-vs-Sao-Paulo-History,matchup,2023,,
35.0,Wed,2023-11-22,,Fortaleza,,,,Palmeiras,,Estádio Castelão,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/a9d0ab0e/Palmeiras-vs-Fortaleza-History,matchup,2023,,
35.0,Wed,2023-11-22,,América (MG),,,,Flamengo,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/639950ae/1f68d780/Flamengo-vs-America-MG-History,matchup,2023,,
35.0,Wed,2023-11-22,,Fluminense,,,,Coritiba,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/d680d257/84d9701c/Coritiba-vs-Fluminense-History,matchup,2023,,
35.0,Wed,2023-11-22,,Botafogo (RJ),,,,Santos,,Estádio Nilton Santos,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/712c528f/Botafogo-RJ-vs-Santos-History,matchup,2023,,
35.0,Wed,2023-11-22,,Corinthians,,,,Bahia,,Neo Química Arena,,Head-to-Head,,/en/stathead/matchup/teams/bf4acd28/157b7fee/Corinthians-vs-Bahia-History,matchup,2023,,
35.0,Wed,2023-11-22,,Ath Paranaense,,,,Vasco da Gama,,Estádio Joaquim Américo Guimarães,,Head-to-Head,,/en/stathead/matchup/teams/83f55dbe/2091c619/Vasco-da-Gama-vs-Athletico-Paranaense-History,matchup,2023,,
35.0,Wed,2023-11-22,,Goiás,,,,Cruzeiro,,Estádio de Hailé Pinheiro,,Head-to-Head,,/en/stathead/matchup/teams/78c617cc/03ff5eeb/Goias-vs-Cruzeiro-History,matchup,2023,,
36.0,Sat,2023-11-25,,Bragantino,,,,Fortaleza,,Estádio Nabi Abi Chedid,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/a9d0ab0e/Red-Bull-Bragantino-vs-Fortaleza-History,matchup,2023,,
36.0,Sat,2023-11-25,,Cruzeiro,,,,Ath Paranaense,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/2091c619/03ff5eeb/Athletico-Paranaense-vs-Cruzeiro-History,matchup,2023,,
36.0,Sat,2023-11-25,,Grêmio,,,,Goiás,,,,Head-to-Head,,/en/stathead/matchup/teams/d5ae3703/78c617cc/Gremio-vs-Goias-History,matchup,2023,,
36.0,Sat,2023-11-25,,Palmeiras,,,,América (MG),,Allianz Parque,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/1f68d780/Palmeiras-vs-America-MG-History,matchup,2023,,
36.0,Sat,2023-11-25,,Bahia,,,,São Paulo,,Itaipava Arena Fonte Nova,,Head-to-Head,,/en/stathead/matchup/teams/5f232eb1/157b7fee/Sao-Paulo-vs-Bahia-History,matchup,2023,,
36.0,Sat,2023-11-25,,Vasco da Gama,,,,Corinthians,,Estádio Club de Regatas Vasco da Gama,,Head-to-Head,,/en/stathead/matchup/teams/bf4acd28/83f55dbe/Corinthians-vs-Vasco-da-Gama-History,matchup,2023,,
36.0,Sat,2023-11-25,,Coritiba,,,,Botafogo (RJ),,Estádio Major Antônio Couto Pereira,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/d680d257/Botafogo-RJ-vs-Coritiba-History,matchup,2023,,
36.0,Sat,2023-11-25,,Santos,,,,Fluminense,,Estádio Urbano Caldeira,,Head-to-Head,,/en/stathead/matchup/teams/84d9701c/712c528f/Fluminense-vs-Santos-History,matchup,2023,,
36.0,Sat,2023-11-25,,Cuiabá,,,,Internacional,,Arena Pantanal,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/6f7e1f03/Cuiaba-vs-Internacional-History,matchup,2023,,
36.0,Sat,2023-11-25,,Flamengo,,,,Atlético Mineiro,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/639950ae/422bb734/Flamengo-vs-Atletico-Mineiro-History,matchup,2023,,
37.0,Wed,2023-11-29,,Corinthians,,,,Internacional,,Neo Química Arena,,Head-to-Head,,/en/stathead/matchup/teams/bf4acd28/6f7e1f03/Corinthians-vs-Internacional-History,matchup,2023,,
37.0,Wed,2023-11-29,,Flamengo,,,,Cuiabá,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/639950ae/Cuiaba-vs-Flamengo-History,matchup,2023,,
37.0,Wed,2023-11-29,,Grêmio,,,,Vasco da Gama,,,,Head-to-Head,,/en/stathead/matchup/teams/d5ae3703/83f55dbe/Gremio-vs-Vasco-da-Gama-History,matchup,2023,,
37.0,Wed,2023-11-29,,Ath Paranaense,,,,Santos,,Estádio Joaquim Américo Guimarães,,Head-to-Head,,/en/stathead/matchup/teams/712c528f/2091c619/Santos-vs-Athletico-Paranaense-History,matchup,2023,,
37.0,Wed,2023-11-29,,América (MG),,,,Bahia,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/1f68d780/157b7fee/America-MG-vs-Bahia-History,matchup,2023,,
37.0,Wed,2023-11-29,,Palmeiras,,,,Fluminense,,Allianz Parque,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/84d9701c/Palmeiras-vs-Fluminense-History,matchup,2023,,
37.0,Wed,2023-11-29,,Bragantino,,,,Coritiba,,Estádio Nabi Abi Chedid,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/d680d257/Red-Bull-Bragantino-vs-Coritiba-History,matchup,2023,,
37.0,Wed,2023-11-29,,Botafogo (RJ),,,,Cruzeiro,,Estádio Nilton Santos,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/03ff5eeb/Botafogo-RJ-vs-Cruzeiro-History,matchup,2023,,
37.0,Wed,2023-11-29,,Atlético Mineiro,,,,São Paulo,,,,Head-to-Head,,/en/stathead/matchup/teams/5f232eb1/422bb734/Sao-Paulo-vs-Atletico-Mineiro-History,matchup,2023,,
37.0,Wed,2023-11-29,,Fortaleza,,,,Goiás,,Estádio Castelão,,Head-to-Head,,/en/stathead/matchup/teams/a9d0ab0e/78c617cc/Fortaleza-vs-Goias-History,matchup,2023,,
38.0,Sun,2023-12-03,,Santos,,,,Fortaleza,,Estádio Urbano Caldeira,,Head-to-Head,,/en/stathead/matchup/teams/a9d0ab0e/712c528f/Fortaleza-vs-Santos-History,matchup,2023,,
38.0,Sun,2023-12-03,,Bahia,,,,Atlético Mineiro,,Itaipava Arena Fonte Nova,,Head-to-Head,,/en/stathead/matchup/teams/422bb734/157b7fee/Atletico-Mineiro-vs-Bahia-History,matchup,2023,,
38.0,Sun,2023-12-03,,Coritiba,,,,Corinthians,,Estádio Major Antônio Couto Pereira,,Head-to-Head,,/en/stathead/matchup/teams/d680d257/bf4acd28/Coritiba-vs-Corinthians-History,matchup,2023,,
38.0,Sun,2023-12-03,,Fluminense,,,,Grêmio,,Estadio Jornalista Mário Filho,,Head-to-Head,,/en/stathead/matchup/teams/d5ae3703/84d9701c/Gremio-vs-Fluminense-History,matchup,2023,,
38.0,Sun,2023-12-03,,São Paulo,,,,Flamengo,,Estádio do Morumbi,,Head-to-Head,,/en/stathead/matchup/teams/639950ae/5f232eb1/Flamengo-vs-Sao-Paulo-History,matchup,2023,,
38.0,Sun,2023-12-03,,Cuiabá,,,,Ath Paranaense,,Arena Pantanal,,Head-to-Head,,/en/stathead/matchup/teams/f0e6fb14/2091c619/Cuiaba-vs-Athletico-Paranaense-History,matchup,2023,,
38.0,Sun,2023-12-03,,Cruzeiro,,,,Palmeiras,,Estádio Raimundo Sampaio,,Head-to-Head,,/en/stathead/matchup/teams/abdce579/03ff5eeb/Palmeiras-vs-Cruzeiro-History,matchup,2023,,
38.0,Sun,2023-12-03,,Internacional,,,,Botafogo (RJ),,Estádio José Pinheiro Borba,,Head-to-Head,,/en/stathead/matchup/teams/d9fdd9d9/6f7e1f03/Botafogo-RJ-vs-Internacional-History,matchup,2023,,
38.0,Sun,2023-12-03,,Vasco da Gama,,,,Bragantino,,Estádio Club de Regatas Vasco da Gama,,Head-to-Head,,/en/stathead/matchup/teams/f98930d1/83f55dbe/Red-Bull-Bragantino-vs-Vasco-da-Gama-History,matchup,2023,,
38.0,Sun,2023-12-03,,Goiás,,,,América (MG),,Estádio de Hailé Pinheiro,,Head-to-Head,,/en/stathead/matchup/teams/78c617cc/1f68d780/Goias-vs-America-MG-History,matchup,2023,,
